cloud.google.com/go/compute/metadata,https://github.com/googleapis/google-cloud-go/blob/compute/metadata/v0.2.3/compute/metadata/LICENSE,Apache-2.0
dario.cat/mergo,https://github.com/imdario/mergo/blob/v1.0.0/LICENSE,BSD-3-Clause
github.com/Microsoft/go-winio,https://github.com/Microsoft/go-winio/blob/v0.6.1/LICENSE,MIT
github.com/ProtonMail/go-crypto,https://github.com/ProtonMail/go-crypto/blob/afb1ddc0824c/LICENSE,BSD-3-Clause
github.com/andybalholm/brotli,https://github.com/andybalholm/brotli/blob/v1.0.6/LICENSE,MIT
github.com/boltdb/bolt,https://github.com/boltdb/bolt/blob/v1.3.1/LICENSE,MIT
github.com/cenkalti/backoff,https://github.com/cenkalti/backoff/blob/v2.2.1/LICENSE,MIT
github.com/cloudflare/circl,https://github.com/cloudflare/circl/blob/v1.3.7/LICENSE,BSD-3-Clause
github.com/cyphar/filepath-securejoin,https://github.com/cyphar/filepath-securejoin/blob/v0.2.4/LICENSE,BSD-3-Clause
github.com/dhowden/tag,https://github.com/dhowden/tag/blob/978a0926ee25/LICENSE,BSD-2-Clause
github.com/disintegration/imaging,https://github.com/disintegration/imaging/blob/v1.6.2/LICENSE,MIT
github.com/dsnet/compress,https://github.com/dsnet/compress/blob/f66993602bf5/LICENSE.md,BSD-3-Clause
github.com/emirpasic/gods,https://github.com/emirpasic/gods/blob/v1.18.1/LICENSE,BSD-2-Clause
github.com/fclairamb/ftpserverlib,https://github.com/fclairamb/ftpserverlib/blob/v0.22.0/license.txt,MIT
github.com/fclairamb/go-log,https://github.com/fclairamb/go-log/blob/v0.4.1/license.txt,MIT
github.com/fogleman/fauxgl,https://github.com/fogleman/fauxgl/blob/27cddc103802/LICENSE.md,MIT
github.com/fogleman/simplify,https://github.com/fogleman/simplify/blob/d32f302d5046/LICENSE.md,MIT
github.com/gabriel-vasile/mimetype,https://github.com/gabriel-vasile/mimetype/blob/v1.4.3/LICENSE,MIT
github.com/geoffgarside/ber,https://github.com/geoffgarside/ber/blob/v1.1.0/LICENSE,BSD-3-Clause
github.com/go-git/gcfg,https://github.com/go-git/gcfg/blob/3a3c6141e376/LICENSE,BSD-3-Clause
github.com/go-git/go-billy/v5,https://github.com/go-git/go-billy/blob/v5.5.0/LICENSE,Apache-2.0
github.com/go-git/go-git/v5,https://github.com/go-git/go-git/blob/v5.11.0/LICENSE,Apache-2.0
github.com/go-ldap/ldap,https://github.com/go-ldap/ldap/blob/v3.0.3/LICENSE,MIT
github.com/golang/freetype,Unknown,Unknown
github.com/golang/freetype/raster,Unknown,Unknown
github.com/golang/freetype/truetype,Unknown,Unknown
